Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Fwd Packets/s,Min Packet Length,Max Packet Length,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Avg Fwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Init_Win_bytes_forward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
21,1910417.0033932934,11,2991.347884497413,521.7112715361859,36.22136531654971,243.40977716638287,68.66199005767945,1808871.2334938175,164442.83940852887,1042.8919539495917,406595.17899210536,31863.009226034013,0,0,220,5.875703702012654,34.86357773740314,688.6528412395783,0,0,0,0,1,0,1.5802819308107328,243.40977716638287,84.66589055974094,1.7571342669418777,62.3192404237476,11,2991.347884497413,9166.201904540261,1,17.33867487684116,48042.49909361923,5766.887103233985,72063.74864042885,24021.249546809617,158379.00260987086,38844.49999041756,237568.5039148063,79189.50130493543,BENIGN
22,1805833.0484336768,10,2417.894284577633,435.6188135750901,23.53668880585838,246.6343352775666,118.13083075400355,1714705.5089132474,171470.55089132473,1259.9673963647197,494386.13332995155,30203.745580285813,0,0,200,5.8164293545806025,26.847313849933197,852.7559942206531,0,0,0,0,1,0,0.8964627510662938,246.6343352775666,160.96411814476932,1.3318458425651656,38.24001621339731,10,2417.894284577633,7586.64358405919,4,19.55408147462931,40481.39983888717,5217.226809772595,60722.099758330754,20240.699919443585,164895.2435435212,17794.249121612127,247342.86531528182,82447.6217717606,BENIGN
443,2574371.1749113714,9,2750.5751477101294,528.76106831814,50.07196913880258,217.9402126084662,91.7463679936406,2925555.0660467665,325061.67400519626,1038.3081731662562,397208.4252248527,87435.4948864266,0,0,180,2.522300746831396,35.321295598177315,592.2827801003741,0,0,0,0,1,0,0.8556657691062473,217.9402126084662,118.08230726525659,1.4908903948854655,32.383810365194705,9,2750.5751477101294,8917.445064413017,4,22.119365401837268,35662.85904236423,5346.9274232638145,53494.288563546346,17831.429521182115,162000.6268112327,10520.774872609223,243000.94021684906,81000.31340561635,BENIGN
8080,1667023.802120354,10,3050.4601747266306,508.52750899660475,50.4701904326202,172.56463675152415,97.81740489920034,1312341.0605037163,131234.10605037163,559.7771951291128,263181.37744800333,42719.58597688146,0,1,200,8.8884156757801,27.47062938574984,536.330339776861,0,0,0,0,1,0,0.9316480081817721,172.56463675152415,30.3246604694736,3.7387168808269693,43.24063231846517,10,3050.4601747266306,7694.6722600060475,5,19.802999415044294,51434.91204214156,4235.51231598806,77152.36806321234,25717.45602107078,241411.18092546088,15410.053006913877,362116.7713881913,120705.59046273044,BENIGN
22,1013647.8879030823,7,1901.9824788958322,610.6010438933437,32.0344197062654,225.9248175169105,95.54025466611029,860606.0296092851,122943.71851561216,771.1729575201794,173006.8136016075,17017.22553479796,0,0,140,3.861874295436924,27.951566922335324,581.8195319755844,0,1,0,0,1,0,1.0949823614853398,225.9248175169105,87.6482963742729,2.7427962069844742,63.10270993413621,7,1901.9824788958322,6932.431478039983,10,27.948027998586788,32100.330461380152,6013.554450204308,48150.495692070224,16050.165230690076,209365.12937222808,16795.179440558943,314047.69405834214,104682.56468611404,BENIGN
443,1456248.940119275,9,2372.5224315328855,314.52498938830877,19.927643170470972,266.6973204304725,72.4656146212374,1249076.7010026318,138786.30011140354,1101.6282508172126,347041.948063219,13678.194038039883,1,0,180,5.4504496302731384,24.084892352147193,465.36710834534756,0,0,0,0,1,0,0.4229506882398746,266.6973204304725,113.07114739591842,2.3037015581878593,67.99407276050233,9,2372.5224315328855,11213.389919802416,7,22.23898342167464,51606.18281832274,2251.93843973556,77409.27422748411,25803.09140916137,268305.1306675688,24708.051103916496,402457.6960013532,134152.5653337844,BENIGN
3306,1674351.9368199278,11,3927.1621377915303,776.1011747279755,38.26105264781107,186.73333135896442,81.8558051715163,1405411.6897895825,127764.69907178023,1109.6263965750904,274856.24080302747,4271.969821269009,0,1,220,5.346355758186191,25.016394485711686,636.7664034056936,0,0,0,1,1,0,1.2689651893749572,186.73333135896442,81.28501416166492,0.9348198117325279,43.278491536738784,11,3927.1621377915303,9025.895490609002,9,22.23448620826328,37671.77226521073,716.0347935863183,56507.6583978161,18835.886132605367,70517.21727634314,11624.341098546043,105775.82591451472,35258.60863817157,BENIGN
22,1434006.7799615194,2,590.5698579406026,369.70871263521747,40.99875316743641,213.41612042018951,95.70549223516608,1229877.8796819854,614938.9398409927,696.6495799220302,1539845.9266528091,4494.466422445426,0,0,40,4.668815674463828,49.01499168115355,458.2602276879817,0,0,0,0,1,0,1.8192635944267816,213.41612042018951,107.00972909367081,2.112939028088614,30.636622106143662,2,590.5698579406026,9247.714087647022,5,24.32026814418882,37715.62439632438,8407.341885672242,56573.43659448657,18857.81219816219,187912.0244070315,33162.42433394333,281868.0366105473,93956.01220351575,BENIGN
80,2705381.427156102,12,3819.8171089432763,452.29911914955744,53.786171322498554,202.03413301849903,88.24548738483978,2700404.4681399437,225033.70567832864,1452.36188845645,487205.2490322905,59349.87023248125,1,0,240,5.662215669198281,28.190371566532136,824.7903333611939,0,0,0,0,0,0,1.1692215036519638,202.03413301849903,126.3392878784541,0.6118929251046648,72.85896297602804,12,3819.8171089432763,5039.805252037226,3,21.66969866469787,39570.85507439274,3642.884402137299,59356.28261158911,19785.42753719637,170570.53081332924,15205.798450284976,255855.79621999385,85285.26540666462,BENIGN
23,1923224.8389149809,14,2262.032177346805,534.6927893936694,40.16110889157624,251.30047054881987,46.48931876587695,1781642.249156722,127260.16065405158,1279.178674211685,318790.72241614095,44469.40813291599,0,0,280,3.7871802744708107,29.292486992305435,658.203659774984,1,0,0,0,0,0,1.2258719938803029,251.30047054881987,112.19408095191062,1.955721158993444,27.825956990473543,14,2262.032177346805,10755.294217850758,6,18.201202890837198,50007.98768720041,5746.350909218616,75011.98153080061,25003.993843600205,222931.06062998506,16852.377782035248,334396.5909449776,111465.53031499253,BENIGN
